Species,Spcode,Genus_species,Functional.group,Ps.pathway ,origin,duration,notes
euphorbiaglypto,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
Euphorbiaglyptosperma,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
Euphorbianutans,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
Euphorbiaserpens,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
Euphorbiaspathulata,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
EUSE,112,Euphorbia_sp.,forb,unknown,native,annual or perennial,
Euphorb_unknown,114,Euphorbia_davidii,forb,unknown,exotic,annual,
Euphorbiadavidii,114,Euphorbia_davidii,forb,unknown,exotic,annual,
forb soft velvet,118,Oxytropis_sp. ,forb,unknown,unknown,unknown,
Fuzzy oxytropis,119,Oxytropis_sp. ,forb,unknown,unknown,unknown,
Unknown astrag/oxytrop,119,Oxytropis_sp. ,forb,unknown,unknown,unknown,
Grindelia squarrosa,122,Grindelia_squarrosa ,forb,unknown,native,annual or biennial or perennial,
Grindelia squarrpsa,122,Grindelia_squarrosa ,forb,unknown,native,annual or biennial or perennial,
Grindeliasquarrosa,122,Grindelia_squarrosa ,forb,unknown,native,annual or biennial or perennial,
Grindellia.seedling.,122,Grindelia_squarrosa ,forb,unknown,native,annual or biennial or perennial,
Guiterieza sprathral,124,Gutierrezia_sarothrae,forb,unknown,native,perennial ,
Guterizzia_sarothrae,124,Gutierrezia_sarothrae,forb,unknown,native,perennial ,
Gutierezia sarothrae,124,Gutierrezia_sarothrae,forb,unknown,native,perennial ,
Gutierrezia sarothrae,124,Gutierrezia_sarothrae,forb,unknown,native,perennial ,
Gutierrezia squarrosa,124,Gutierrezia_sarothrae,forb,unknown,native,perennial ,
Gutierrezia_sarothrae,124,Gutierrezia_sarothrae,forb,unknown,native,perennial ,
Gutierreziasarothrae,124,Gutierrezia_sarothrae,forb,unknown,native,perennial ,
Gutierrizzia_sarothrae,124,Gutierrezia_sarothrae,forb,unknown,native,perennial ,
Guttierezia sarothrae,124,Gutierrezia_sarothrae,forb,unknown,native,perennial ,
Happlopapusfilifolia,125,Hymenopappus_filifolius,forb,unknown,native,perennial ,
hymenopathus unknown,125,Hymenopappus_filifolius,forb,unknown,native,perennial ,
Hedeoma_hispida,126,Hedemoa_hispida,forb,unknown,native,annual,
Hedeomahispida,126,Hedemoa_hispida,forb,unknown,native,annual,
Helianthus anuus,127,Helianthus_annuus,forb,unknown,native,annual,
Helianthus_annuus,127,Helianthus_annuus,forb,unknown,native,annual,
Helianthusannuus,127,Helianthus_annuus,forb,unknown,native,annual,
Helianthussp.,127,Helianthus_annuus,forb,unknown,native,annual,
Helianthus pumilus,128,Helianthus_pumilus,forb,unknown,native,perennial ,
Helianthuspumilus,128,Helianthus_pumilus,forb,unknown,native,perennial ,
Hesperostipa comata,130,Hesperostipa_comata,forb,unknown,native,perennial ,
Hesperostipa_comata,130,Hesperostipa_comata,forb,unknown,native,perennial ,
Stipa comata,130,Hesperostipa_comata,forb,unknown,native,perennial ,
Stipacomata,130,Hesperostipa_comata,forb,unknown,native,perennial ,
Heterotheca villosa,131,Heterotheca_villosa,forb,unknown,native,perennial ,
Heterotheca_villosa,131,Heterotheca_villosa,forb,unknown,native,perennial ,
Heterothecavillosa,131,Heterotheca_villosa,forb,unknown,native,perennial ,
Hordeum_pusilum,132,Hordeum_pusillum,forb,unknown,native,annual,
Hordeumpusillum,132,Hordeum_pusillum,forb,unknown,native,annual,
Ipomopsis_laxiflora,134,Ipomopsis_laxiflora,forb,unknown,native,annual or biennial ,
Ipomopsislaxiflora,134,Ipomopsis_laxiflora,forb,unknown,native,annual or biennial ,
Juncus_sp.,135,Juncus_interior,graminoid,c3,native,perennial ,
Juncusinterior,135,Juncus_interior,graminoid,c3,native,perennial ,
Juncussp.,135,Juncus_interior,graminoid,c3,native,perennial ,
Koeleria,137,Koeleria_macarantha,graminoid,c3,native,perennial ,
Koeleria pyramidata,137,Koeleria_macarantha,graminoid,c3,native,perennial ,
Koeleria_macarantha,137,Koeleria_macarantha,graminoid,c3,native,perennial ,
Koeleria_macrantha,137,Koeleria_macarantha,graminoid,c3,native,perennial ,
Koeleriapyramidata,137,Koeleria_macarantha,graminoid,c3,native,perennial ,
KOMA,137,Koeleria_macarantha,graminoid,c3,native,perennial ,
KOPY,137,Koeleria_macarantha,graminoid,c3,native,perennial ,
Kuhnia,141,Kuhnia_eupatoroides,forb,unknown,native,perennial ,
Kuhnia unknown,141,Kuhnia_eupatoroides,forb,unknown,native,perennial ,
Kuhnia_eupatoriodes,141,Kuhnia_eupatoroides,forb,unknown,native,perennial ,
Kuhnia_eupatoroides,141,Kuhnia_eupatoroides,forb,unknown,native,perennial ,
Kuhniaeupatorioides,141,Kuhnia_eupatoroides,forb,unknown,native,perennial ,
lactina,142,Lactuca_serriola,forb,unknown,exotic,annual or biennial ,
Lactuca,142,Lactuca_serriola,forb,unknown,exotic,annual or biennial ,
Lactuca serriola,142,Lactuca_serriola,forb,unknown,exotic,annual or biennial ,
Lactuca_serriola,142,Lactuca_serriola,forb,unknown,exotic,annual or biennial ,
Lactucaseriola,142,Lactuca_serriola,forb,unknown,exotic,annual or biennial ,
Lactucaserriola,142,Lactuca_serriola,forb,unknown,exotic,annual or biennial ,
Lappula redowskii,143,Lappula_redowskii,forb,unknown,native,annual or biennial ,
Lappula_redowskii,143,Lappula_redowskii,forb,unknown,native,annual or biennial ,
Lappularedowskii,143,Lappula_redowskii,forb,unknown,native,annual or biennial ,
LECA,144,Lespedez_capitata,forb,unknown,native,perennial ,
lespdezacapitata,144,Lespedeza_capitata,forb,unknown,native,perennial ,
Lespedeza_capitata,144,Lespedeza_capitata,forb,unknown,native,perennial ,
Lespedezacapitata,144,Lespedeza_capitata,forb,unknown,native,perennial ,
LEDE,145,Lepidium_densiflorum,forb,unknown,exotic,annual or biennial ,
Lepedium densiflorum,145,Lepidium_densiflorum,forb,unknown,exotic,annual or biennial ,
Lepidium_densiflorum,145,Lepidium_densiflorum,forb,unknown,exotic,annual or biennial ,
Lepidiumdensiflorum,145,Lepidium_densiflorum,forb,unknown,exotic,annual or biennial ,
Lupidum??,145,Lepidium_densiflorum,forb,unknown,exotic,annual or biennial ,
Lesquerella montana,147,Lesquerella_montana,forb,unknown,native,perennial ,
Lesquerella_montana,147,Lesquerella_montana,forb,unknown,native,perennial ,
Lesquerellamontana,147,Lesquerella_montana,forb,unknown,native,perennial ,
Lesquerella montana?,149,Leucocrinum_montanum,forb,unknown,native,perennial ,
Leucocrinum montanum,149,Leucocrinum_montanum,forb,unknown,native,perennial ,
Leucocrinum_montanum,149,Leucocrinum_montanum,forb,unknown,native,perennial ,
Leucocrinummontanum,149,Leucocrinum_montanum,forb,unknown,native,perennial ,
Leucorinum montanum,149,Leucocrinum_montanum,forb,unknown,native,perennial ,
Liatris longleaf,151,Liatris_punctata,forb,unknown,native,perennial ,
Liatris punctata,151,Liatris_punctata,forb,unknown,native,perennial ,
Liatris_punctata,151,Liatris_punctata,forb,unknown,native,perennial ,
Liatrispunctata,151,Liatris_punctata,forb,unknown,native,perennial ,
LIPU,151,Liatris_punctata,forb,unknown,native,perennial ,
Linaria_dalmatica,152,Linaria_dalmatica,forb,unknown,exotic,perennial ,
Linariadalmatica,152,Linaria_dalmatica,forb,unknown,exotic,perennial ,
Lineria dalmatica,152,Linaria_dalmatica,forb,unknown,exotic,perennial ,
Linum_rigidum,153,Linum_rigidum,forb,unknown,native,annual or perennial,
Linumrigidum,153,Linum_rigidum,forb,unknown,native,annual or perennial,
Linum_sulcatum,154,Linum_sulcatum,forb,unknown,native,annual,
Linumsulcatum,154,Linum_sulcatum,forb,unknown,native,annual,
Lethospermum,155,Lithospermum_incisum,forb,unknown,native,perennial ,
Lithospermum,155,Lithospermum_incisum,forb,unknown,native,perennial ,
Lithospermum_incisum,155,Lithospermum_incisum,forb,unknown,native,perennial ,
Lithospermumincisum,155,Lithospermum_incisum,forb,unknown,native,perennial ,
Lygodemia juncea,159,Lygodesmia_juncea,forb,unknown,native,perennial ,
Lygodesia juncea,159,Lygodesmia_juncea,forb,unknown,native,perennial ,
Lygodesmea juncea,159,Lygodesmia_juncea,forb,unknown,native,perennial ,
Lygodesmia juncea,159,Lygodesmia_juncea,forb,unknown,native,perennial ,
Lygodesmia_juncea,159,Lygodesmia_juncea,forb,unknown,native,perennial ,
Lygodesmiajuncea,159,Lygodesmia_juncea,forb,unknown,native,perennial ,
Machaeranthera,161,Machaeranthera_pinnatifida,forb,unknown,native,perennial ,
Machaeranthera pinnatifid,161,Machaeranthera_pinnatifida,forb,unknown,native,perennial ,
Machaeranthera pinnatifida,161,Machaeranthera_pinnatifida,forb,unknown,native,perennial ,
MAchaeranthera pinnatifida,161,Machaeranthera_pinnatifida,forb,unknown,native,perennial ,
Machaeranthera_pinnatifida,161,Machaeranthera_pinnatifida,forb,unknown,native,perennial ,
Machaerantherapinnatifida,161,Machaeranthera_pinnatifida,forb,unknown,native,perennial ,
Machaeranthera tanacetifolia,163,Machaeranthera_tanacetifolia,forb,unknown,native,annual or biennial ,
Machaeranthera_tanacetifolia,163,Machaeranthera_tanacetifolia,forb,unknown,native,annual or biennial ,
Machaerantheratanacetifolia,163,Machaeranthera_tanacetifolia,forb,unknown,native,annual or biennial ,
Medicago_lupulina,164,Medicago_lupulina,forb,unknown,exotic,annual or perennial,
Medicagolupulina,164,Medicago_lupulina,forb,unknown,exotic,annual or perennial,
Melilotus_officinalis,166,Melilotus_officinalis,forb,unknown,exotic,annual or biennial or perennial,
Melilotusalba,166,Melilotus_officinalis,forb,unknown,exotic,annual or biennial or perennial,
Melilotusofficinalis,166,Melilotus_officinalis,forb,unknown,exotic,annual or biennial or perennial,
Melilotusspp,166,Melilotus_officinalis,forb,unknown,exotic,annual or biennial or perennial,
MEOF,166,Melilotus_officinalis,forb,unknown,exotic,annual or biennial or perennial,
Mertensia lanceolata,168,Mertensia_lanceolata,forb,unknown,native,perennial ,
Mertensia_lanceolata,168,Mertensia_lanceolata,forb,unknown,native,perennial ,
Mertensialanceolata,168,Mertensia_lanceolata,forb,unknown,native,perennial ,
mirabilis,170,Mirabilis_linearis,forb,unknown,native,perennial ,
Mirabilis linearis,170,Mirabilis_linearis,forb,unknown,native,perennial ,
Mirabilis sp,170,Mirabilis_linearis,forb,unknown,native,perennial ,
Mirabilis sp.,170,Mirabilis_linearis,forb,unknown,native,perennial ,
Mirabilis spp,170,Mirabilis_linearis,forb,unknown,native,perennial ,
Mirabilis_linearis,170,Mirabilis_linearis,forb,unknown,native,perennial ,
Mirabilislinearis,170,Mirabilis_linearis,forb,unknown,native,perennial ,
Unknown mirabilis,170,Mirabilis_linearis,forb,unknown,native,perennial ,
monarda,171,Monarda_fistulosa,forb,unknown,native,perennial ,
monarda fistulosa,171,Monarda_fistulosa,forb,unknown,native,perennial ,
muhlenbergia torreyi,172,Muhlenbergia_torreyi,graminoid,c3,native,perennial ,
Muhlenbergiatorreyi,172,Muhlenbergia_torreyi,graminoid,c3,native,perennial ,
Musineon divaricatum,173,Musineon_divaricatum,forb,unknown,native,perennial ,
Musineon_divaricatum,173,Musineon_divaricatum,forb,unknown,native,perennial ,
Musineondivaricatum,173,Musineon_divaricatum,forb,unknown,native,perennial ,
Nassella viridual,175,Nassella_viridula,graminoid,c3,native,perennial ,
Nassellaviridula,175,Nassella_viridula,graminoid,c3,native,perennial ,
Gaura coccinea,177,Oenothera_suffrutescens,forb,unknown,native,perennial ,
Gaura_coccinea,177,Oenothera_suffrutescens,forb,unknown,native,perennial ,
Gauracoccinea,177,Oenothera_suffrutescens,forb,unknown,native,perennial ,
Gauraparviflora,177,Oenothera_suffrutescens,forb,unknown,native,perennial ,
oenathera sufraceteus,177,Oenothera_suffrutescens,forb,unknown,native,perennial ,
Oenothera suffax,177,Oenothera_suffrutescens,forb,unknown,native,perennial ,
Oenothera_suffrutescens,177,Oenothera_suffrutescens,forb,unknown,native,perennial ,
oenotherasufferetsens,177,Oenothera_suffrutescens,forb,unknown,native,perennial ,
Oenothera albicaulis,179,Oenothera_albicaulis,forb,unknown,native,annual ,
Oenothera_albicaulis,179,Oenothera_albicaulis,forb,unknown,native,annual ,
Oenotheraalbicaulis,179,Oenothera_albicaulis,forb,unknown,native,annual ,
Enotheraeurliflora,180,Oenothera_biennis,forb,unknown,native,biennial ,
Oenothera biennis,180,Oenothera_biennis,forb,unknown,native,biennial ,
Machaeranthera pinnatifida?,181,Oenothera_coronopifolia,forb,unknown,native,perennial ,
Oenotera,181,Oenothera_coronopifolia,forb,unknown,native,perennial ,
Oenothera coronopifolia,181,Oenothera_coronopifolia,forb,unknown,native,perennial ,
Oenothera_coronopifolia,181,Oenothera_coronopifolia,forb,unknown,native,perennial ,
Oenotheracoronopifolia,181,Oenothera_coronopifolia,forb,unknown,native,perennial ,
Oenthera coronopifolia,181,Oenothera_coronopifolia,forb,unknown,native,perennial ,
Oenotheraspeciosa,183,Oenothera_speciosa,forb,unknown,native,perennial ,
opposite lead unknown,184,unknown,forb,unknown,unknown,unknown,
Oppuntiapolycantha,185,Opuntia polyacantha,Cacti,c3,native,perennial ,
Opuntia,185,Opuntia polyacantha,Cacti,c3,native,perennial ,
Opuntia polyacantha,185,Opuntia polyacantha,Cacti,c3,native,perennial ,
Opuntia polycantha,185,Opuntia polyacantha,Cacti,c3,native,perennial ,
Opuntia_polycantha,185,Opuntia polyacantha,Cacti,c3,native,perennial ,
Opuntiapolyacantha,185,Opuntia polyacantha,Cacti,c3,native,perennial ,
Orobanche sp,186,Orobanche_sp.,forb,unknown,unknown,unknown,
Orobanche sp.,186,Orobanche_sp.,forb,unknown,unknown,unknown,
Orobanchesp.,186,Orobanche_sp.,forb,unknown,unknown,unknown,
parasidic,186,Orobanche_sp.,forb,unknown,unknown,unknown,
Parasidic,186,Orobanche_sp.,forb,unknown,unknown,unknown,
Parasitic,186,Orobanche_sp.,forb,unknown,unknown,unknown,
parasitic plant,186,Orobanche_sp.,forb,unknown,unknown,unknown,
Oxalis_stricta,187,Oxalis_stricta,forb,unknown,native,perennial ,
Oxalisstricta,187,Oxalis_stricta,forb,unknown,native,perennial ,
OXST,187,Oxalis_stricta,forb,unknown,native,perennial ,
Oxalisviolacea,188,Oxalis_violacea,forb,unknown,native,perennial ,
Oxytropissericea,190,Oxytropis_sericea,forb,unknown,native,perennial ,
Oxytropislambertii,191,Oxytropis_lambertii,forb,unknown,native,perennial ,
panicum,194,Panicum_virgatum,graminoid,c4,native,perennial ,
Panicum_virgatum,194,Panicum_virgatum,graminoid,c4,native,perennial ,
Panicumvirgatum,194,Panicum_virgatum,graminoid,c4,native,perennial ,
PAVI,194,Panicum_virgatum,graminoid,c4,native,perennial ,
Eriogonum like plant,196,Paronychia_jamesii,forb,unknown,native,perennial ,
Eriogonum_Hays,196,Paronychia_jamesii,forb,unknown,native,perennial ,
Paronychia jamesii,196,Paronychia_jamesii,forb,unknown,native,perennial ,
Paronychia_jamesii,196,Paronychia_jamesii,forb,unknown,native,perennial ,
Dasesmit,197,Pascopyrum_smithii,graminoid,c3,native,perennial ,
pascapyrum,197,Pascopyrum_smithii,graminoid,c3,native,perennial ,
Pascopyron_smithii,197,Pascopyrum_smithii,graminoid,c3,native,perennial ,
Pascopyrum smithii,197,Pascopyrum_smithii,graminoid,c3,native,perennial ,
Pascopyrum_smithii,197,Pascopyrum_smithii,graminoid,c3,native,perennial ,
Pascopyrumsmithii,197,Pascopyrum_smithii,graminoid,c3,native,perennial ,
PASM,197,Pascopyrum_smithii,graminoid,c3,native,perennial ,
Penstemon albidus,198,Penstemon_albidus,forb,unknown,native,perennial ,
Penstemon_albidus,198,Penstemon_albidus,forb,unknown,native,perennial ,
Penstemonalbidus,198,Penstemon_albidus,forb,unknown,native,perennial ,
Penstemon angustifolius,199,Penstemon_angustifolius,forb,unknown,native,perennial ,
Penstemon_angustifolius,199,Penstemon_angustifolius,forb,unknown,native,perennial ,
Penstemonangustifolius,199,Penstemon_angustifolius,forb,unknown,native,perennial ,
Phlox hoodii,200,Phlox_hoodii,forb,unknown,native,perennial ,
Phlox_hoodii,200,Phlox_hoodii,forb,unknown,native,perennial ,
Phloxhoodii,200,Phlox_hoodii,forb,unknown,native,perennial ,
PHPU,201,Physalis_pumila,forb,unknown,native,perennial ,
Physalis_pumila,201,Physalis_pumila,forb,unknown,native,perennial ,
Physalispumila,201,Physalis_pumila,forb,unknown,native,perennial ,
physillysis,201,Physalis_pumila,forb,unknown,native,perennial ,
Plantago patagonica,202,Plantago_patagonica,forb,unknown,native,annual,
Plantago_patagonica,202,Plantago_patagonica,forb,unknown,native,annual,
Plantagopatagonica,202,Plantago_patagonica,forb,unknown,native,annual,
PlantagoPatagonica,202,Plantago_patagonica,forb,unknown,native,annual,
Plantago_rhodosperma,203,Plantago_rhodosperma,forb,unknown,native,annual,
Plantagorhodosperma,203,Plantago_rhodosperma,forb,unknown,native,annual,
PLRH,203,Plantago_rhodosperma,forb,unknown,native,annual,
Poa,204,Poa_pratensis,forb,unknown,exotic,perennial ,
Poa pratensis,204,Poa_pratensis,forb,unknown,exotic,perennial ,
Poa_pratensis,204,Poa_pratensis,forb,unknown,exotic,perennial ,
Poapratensis,204,Poa_pratensis,forb,unknown,exotic,perennial ,
polygala,205,Polygala_verticillata,forb,unknown,native,annual,
Polygala,205,Polygala_verticillata,forb,unknown,native,annual,
Polygala_verticillata,205,Polygala_verticillata,forb,unknown,native,annual,
Polygalasp.,205,Polygala_verticillata,forb,unknown,native,annual,
Polygalaverticillata,205,Polygala_verticillata,forb,unknown,native,annual,
Pontenia sp.,209,Potentilla_pensylvanica,forb,unknown,native,perennial ,
Pontentilla,209,Potentilla_pensylvanica,forb,unknown,native,perennial ,
Pontetilla,209,Potentilla_pensylvanica,forb,unknown,native,perennial ,
Pontilla pencilranica,209,Potentilla_pensylvanica,forb,unknown,native,perennial ,
Potentia pensylvanica,209,Potentilla_pensylvanica,forb,unknown,native,perennial ,
Potentia sp.,209,Potentilla_pensylvanica,forb,unknown,native,perennial ,
Potentilla,209,Potentilla_pensylvanica,forb,unknown,native,perennial ,
Potentilla pencilvanica,209,Potentilla_pensylvanica,forb,unknown,native,perennial ,
Potentilla pencylvanica,209,Potentilla_pensylvanica,forb,unknown,native,perennial ,
Potentilla pensylvanica,209,Potentilla_pensylvanica,forb,unknown,native,perennial ,
Potentilla_pensylvanica,209,Potentilla_pensylvanica,forb,unknown,native,perennial ,
Potentillapensylvanica,209,Potentilla_pensylvanica,forb,unknown,native,perennial ,
Psoralea_cuspidata,211,Psoralea_cuspidata,forb,unknown,native,perennial ,
Psoraleacuspidata,211,Psoralea_cuspidata,forb,unknown,native,perennial ,
Psoraleaesculenta,212,Psoralea_esculenta,forb,unknown,native,perennial ,
RACO,213,Ratibida_columnifera,forb,unknown,native,perennial ,
ratibacolumnifera,213,Ratibida_columnifera,forb,unknown,native,perennial ,
Ratibida sp.,213,Ratibida_columnifera,forb,unknown,native,perennial ,
Ratibida_columnifera,213,Ratibida_columnifera,forb,unknown,native,perennial ,
Ratibida_columniferia,213,Ratibida_columnifera,forb,unknown,native,perennial ,
Ratibidacolumnifera,213,Ratibida_columnifera,forb,unknown,native,perennial ,
rutibita,213,Ratibida_columnifera,forb,unknown,native,perennial ,
Rhus_trilobata,214,Rhus_trilobata,woody,c3,native,perennial ,
Rhustrilobata,214,Rhus_trilobata,woody,c3,native,perennial ,
Ruellia_humilis,216,Ruellia_humilis,forb,unknown,native,perennial ,
Ruellia.seedling.,216,Ruellia_humilis,forb,unknown,native,perennial ,
Ruelliahumilis,216,Ruellia_humilis,forb,unknown,native,perennial ,
RUHU,216,Ruellia_humilis,forb,unknown,native,perennial ,
Salsola tragus,218,Salsola_tragus,forb,unknown,exotic,annual ,
Salsola_tragus,218,Salsola_tragus,forb,unknown,exotic,annual ,
Salsolatragus,218,Salsola_tragus,forb,unknown,exotic,annual ,
salvia,219,Salvia_azurea,forb,unknown,native,perennial ,
Salvia_azurea,219,Salvia_azurea,forb,unknown,native,perennial ,
Salvia.azurea,219,Salvia_azurea,forb,unknown,native,perennial ,
Salviaazurea,219,Salvia_azurea,forb,unknown,native,perennial ,
Schedonnarduspaniculatus,220,Schedonnardus_paniculatus,graminoid,c3,native,perennial ,
Schizachyrium_scoparium,221,Schizachyrium_scoparium,graminoid,c4,native,perennial ,
Schizachyriumscoparium,221,Schizachyrium_scoparium,graminoid,c4,native,perennial ,
SCSC,221,Schizachyrium_scoparium,graminoid,c4,native,perennial ,
Schrankia_nutallii,222,Schrankia_nutallii,forb,unknown,native,perennial ,
Schrankianuttallii,222,Schrankia_nutallii,forb,unknown,native,perennial ,
SCNU,222,Schrankia_nutallii,forb,unknown,native,perennial ,
shcranki,222,Schrankia_nutallii,forb,unknown,native,perennial ,
Scorzoneralaciniata,223,Scorzonera_laciniata,graminoid,c3,exotic,perennial ,
Senecio_plattensis,225,Senecio_plattensis,forb,unknown,native,biennial or perennial , 
Senecioplattensis,225,Senecio_plattensis,forb,unknown,native,biennial or perennial ,
unknown rosette,225,Senecio_plattensis,forb,unknown,native,biennial or perennial ,
SICA,227,Sisyrinchium_campestre,forb,unknown,native,perennial ,
Sisynchrium_campestre,227,Sisyrinchium_campestre,forb,unknown,native,perennial ,
sisyrichiumcampestre,227,Sisyrinchium_campestre,forb,unknown,native,perennial ,
sisyrinchiumcampestre,227,Sisyrinchium_campestre,forb,unknown,native,perennial ,
Sisyrinchiumcampestre,227,Sisyrinchium_campestre,forb,unknown,native,perennial ,
Silene_antirrhina,229,Silene_antirrhina,forb,unknown,native,annual ,
Sileneantirrhina,229,Silene_antirrhina,forb,unknown,native,annual ,
Sisymbrium altissima,230,Sisymbrium_altissimum,forb,unknown,exotic,annual or biennial ,
Sisymbrium altissimum,230,Sisymbrium_altissimum,forb,unknown,exotic,annual or biennial ,
Sisymbrium_altissimum,230,Sisymbrium_altissimum,forb,unknown,exotic,annual or biennial ,
Sisymbriumaltissimum,230,Sisymbrium_altissimum,forb,unknown,exotic,annual or biennial ,
Sysimbrium sp.,230,Sisymbrium_altissimum,forb,unknown,exotic,annual or biennial ,
Solanumrostratum,231,Solanum_rostratum,forb,unknown,native,annual ,
Solidago canadensis,232,Solidago_canadensis,forb,unknown,native,perennial ,
Solidago_canadensis,232,Solidago_canadensis,forb,unknown,native,perennial ,
Solidago.can.,232,Solidago_canadensis,forb,unknown,native,perennial ,
Solidagocanadensis,232,Solidago_canadensis,forb,unknown,native,perennial ,
solidagocandensis,232,Solidago_canadensis,forb,unknown,native,perennial ,
Solidagocanedensis,232,Solidago_canadensis,forb,unknown,native,perennial ,
Solidago_missouriensis,233,Solidago_missouriensis,forb,unknown,native,perennial ,
Solidagomissouriensis,233,Solidago_missouriensis,forb,unknown,native,perennial ,
SOMI,233,Solidago_missouriensis,forb,unknown,native,perennial ,
SONU,234,Sorghastrum_nutans,graminoid,c3,native,perennial ,
Sorgastrum_nutans,234,Sorghastrum_nutans,graminoid,c3,native,perennial ,
Sorghastrum_nutans,234,Sorghastrum_nutans,graminoid,c3,native,perennial ,
Sorghastrumnutans,234,Sorghastrum_nutans,graminoid,c3,native,perennial ,
SPAS,235,Sporobolus_asper,graminoid,c3,native,perennial ,
sporobolus_asper,235,Sporobolus_asper,graminoid,c3,native,perennial ,
Sporobolus_asper,235,Sporobolus_asper,graminoid,c3,native,perennial ,
Sporobolusasper,235,Sporobolus_asper,graminoid,c3,native,perennial ,
Sphaeralcea coccinea,236,Sphaeralcea_coccinea,forb,unknown,native,biennial or perennial ,
Sphaeralcea_coccinea,236,Sphaeralcea_coccinea,forb,unknown,native,biennial or perennial ,
Sphaeralceacoccinea,236,Sphaeralcea_coccinea,forb,unknown,native,biennial or perennial ,
Sporobolus_cryptandrus,237,Sporobolus_cryptandrus,graminoid,c4,native,perennial ,
Sporoboluscryptandrus,237,Sporobolus_cryptandrus,graminoid,c4,native,perennial ,
Stephanomeria runcinata,239,Stephanomeria_runcinata,forb,unknown,native,perennial ,
Stephanomeriaruncinata,239,Stephanomeria_runcinata,forb,unknown,native,perennial ,
Stipa veridas?,240,unknown,unknown,unknown,unknown,unknown,
Talinumparviflorum,242,Talinum_parviflorum,forb,unknown,native,perennial ,
taraxacum officinale,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Taraxacum officinale,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Taraxacum_officinale,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Taraxacumofficinale,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Taraxacumofficionale,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Taraxicum,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Taraxicum off,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Taraxicum offianales,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Taraxicum officianales,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Taraxicum officinale,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Taraxicum officinales,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Taraxicum sp,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Taraxicum sp.,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Teraxicum officianales,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
Teraxicum officinale,244,Taraxacum_officinale,forb,unknown,exotic,perennial ,
TECA,245,Teucrium_canadense,forb,unknown,native,perennial ,
Teucrium canadense,245,Teucrium_canadense,forb,unknown,native,perennial ,
Teucrium_canadense,245,Teucrium_canadense,forb,unknown,native,perennial ,
Teucriumcanadense,245,Teucrium_canadense,forb,unknown,native,perennial ,
Teucriumsp.,245,Teucrium_canadense,forb,unknown,native,perennial ,
Telespermum,246,Theleperma_filifolium,forb,unknown,native,annual or perennial,
Theleperma_filifolium,246,Theleperma_filifolium,forb,unknown,native,annual or perennial,
Thelesperma filifolium,246,Theleperma_filifolium,forb,unknown,native,annual or perennial,
Thelespermafilifolium,246,Theleperma_filifolium,forb,unknown,native,annual or perennial,
Townsendia grandiflora,249,Townsendia_grandiflora,forb,unknown,native,biennial ,
Townsendia sp.,249,Townsendia_grandiflora,forb,unknown,native,biennial ,
Townsendia_grandiflora,249,Townsendia_grandiflora,forb,unknown,native,biennial ,
Townsendiagrandiflora,249,Townsendia_grandiflora,forb,unknown,native,biennial ,
Tradescantia occidentalis,250,Tradescantia_occidentalis,forb,unknown,native,perennial ,
Tradescantia oxidentais,250,Tradescantia_occidentalis,forb,unknown,native,perennial ,
Tradescantiaoccidentalis,250,Tradescantia_occidentalis,forb,unknown,native,perennial ,
Tragia,251,Tragia_ramosa,forb,unknown,native,perennial ,
Tragia_racemosa,251,Tragia_ramosa,forb,unknown,native,perennial ,
Tragiaramosa,251,Tragia_ramosa,forb,unknown,native,perennial ,
Tragopogon dubius,252,Tragopogon_dubius,forb,unknown,exotic,annual or biennial ,
Tragopogon_dubius,252,Tragopogon_dubius,forb,unknown,exotic,annual or biennial ,
Tragopogondubius,252,Tragopogon_dubius,forb,unknown,exotic,annual or biennial ,
Triodanisleptocarpa,254,Triodanis_leptocarpa,forb,unknown,native,annual ,
Triodanisperfoliata,254,Triodanis_perfoliata,forb,unknown,native,annual ,
Triodanissp.,254,Triodanis_perfoliata,forb,unknown,native,annual ,
UK Fuzzy Aster,256,unknown,forb,unknown,unknown,unknown,
UK onagraceac,257,unknown,forb,unknown,unknown,unknown,
UK poa,258,unknown,graminoid,c3,unknown,unknown,
UK tall phloc,259,unknown,forb,unknown,unknown,unknown,
UK Tall Phlox,259,unknown,forb,unknown,unknown,unknown,
